Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
12-01-10,21:53:10,13,7,HAITI,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21,316000,300000,8000,97294,188383
27-02-10,6:34:11,23,8.8,CHILE,CENTRAL CHILE,-36.122,-72.898,29,558,12000,30000,,500000
12-03-66,16:31:21,48,7.6,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,24.1,122.6,0.1,7,11,,,
15-06-66,0:59:42,31,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.343,160.883,0.2,,,,,
17-10-66,21:41:56,38,8.1,PERU,CENTRAL PERU,-10.748,-78.638,3,110,3000,35,,
28-12-66,8:18:07,47,7.8,CHILE,NORTHERN CHILE,-25.5,-70.7,0.42,3,6,0.4,,
12-07-66,18:53:00,,5.5,RUSSIA,BLACK SEA,44.75,37,0.2,,,,,
31-12-66,18:23:11,83,7.8,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.893,166.445,2,,,,,
31-12-66,22:15:16,23,7.2,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-12.334,166.684,0.8,,,,,
19-03-67,4:01:38,38,7,RUSSIA,S. KURIL ISLANDS,45.53,151.11,,,,,,
11-04-67,5:09:12,33,5.5,INDONESIA,MAKASSAR STRAIT,-3.7,119.3,,71,100,,,
12-04-67,4:51:50,100,6.1,INDONESIA,NORTHEAST SUMATRA,5.5,97.3,,14,,,2000,
13-08-67,22:15:10,30,6.4,PAPUA NEW GUINEA,BISMARCK SEA,-4.4,152.5,0.1,,,,,
15-11-67,21:31:54,35,5.9,CHILE,NORTHERN CHILE,-28.78,-71.19,,,,,,
21-12-67,2:25:23,33,7.5,CHILE,NORTHERN CHILE,-21.7,-69.5,,1,,,,
29-07-67,23:59:58,10,6.5,VENEZUELA,CARACAS,10.6,-67.3,0.08,300,1536,140,,
29-01-68,10:19:07,40,7.3,RUSSIA,S. KURIL ISLANDS,43.586,146.701,0.18,,,,,
19-02-68,22:45:45,15,7.2,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",39.368,24.957,1.2,20,18,0.6,500,1951
01-04-68,0:42:04,30,7.5,JAPAN,SEIKAIDO,32.3,132.5,3.07,1,22,,,
16-05-68,0:48:55,7,8.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,6,52,330,131,1218,
12-06-68,13:41:50,44,7.2,JAPAN,SANRIKU,39.4,143.1,0.95,,,,,
25-07-68,7:23:07,60,7.3,NEW ZEALAND,KERMADEC ISLANDS,-30.8,-178.4,0.05,,,,,
01-08-68,20:19:21,36,7.3,PHILIPPINES,E. LUZON ISLAND,16.5,122.2,0.16,270,261,8,,
05-08-68,7:17:00,10,6.5,JAPAN,SEIKAIDO-NANKAIDO,33.3,132.2,0.03,,,,,
10-08-68,2:07:04,25,7.6,INDONESIA,N. MOLUCCAS ISLANDS,1.4,126.2,0.4,,,,,
14-08-68,22:14:19,23,7.8,INDONESIA,BANDA SEA,0.2,119.8,10,200,58,,800,
20-09-68,6:09:00,107,6.2,VENEZUELA,CARUPANO,10.5,-62.6,,,,,,
